,number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
349,350,"[[0.10687913 0.29121792]
 [0.88808152 0.19649486]
 [0.68761032 1.7335178 ]
 [0.54774928 0.99016074]]",2.0,2820,40.0
350,351,"[[1.70644168 0.65771896]
 [1.07312625 2.0516516 ]
 [0.42562763 1.03555894]
 [0.2086458  1.81599004]]",2.0,2821,30.0
351,352,"[[1.50942182 0.37939015]
 [0.40174691 1.45923375]
 [1.20227071 0.18227758]
 [0.88580741 1.93155347]]",2.0,2821,42.0
352,353,"[[1.25230397 1.8886061 ]
 [0.25220797 1.21360647]
 [1.11145541 1.13637666]
 [0.77803009 0.41400804]]",2.0,2821,16.0
353,354,"[[1.38156174 1.68417956]
 [0.85762075 0.27842844]
 [0.12740126 1.28389122]
 [1.11984253 1.88907804]]",2.0,2821,10.0
354,355,"[[0.95315656 1.21036023]
 [1.78926839 1.92484057]
 [2.01003346 1.28903472]
 [0.2718406  0.39624439]]",2.0,2824,44.0
355,356,"[[1.36033953 1.73812133]
 [1.31600427 1.21850635]
 [0.16254989 0.17553555]
 [1.22477038 1.40282659]]",2.0,2834,13.0
356,357,"[[0.05843971 1.29500369]
 [0.19213642 0.28443677]
 [0.32078812 1.0115028 ]
 [1.99699758 1.16767266]]",2.0,2835,14.0
357,358,"[[0.85549418 1.65007406]
 [0.25101427 1.66250142]
 [1.68167496 0.92155913]
 [0.2761704  1.17312194]]",2.0,2836,12.0
358,359,"[[1.39272618 1.27206466]
 [1.49045248 2.01242272]
 [0.84632278 1.70512627]
 [0.76720924 1.3872139 ]]",2.0,2836,16.0
359,360,"[[0.91706593 0.19335517]
 [1.30944098 1.36401841]
 [1.5853609  1.04432397]
 [0.33513696 1.59512317]]",2.0,2837,16.0
360,361,"[[1.04737504 1.36041913]
 [0.77410221 2.05232876]
 [0.98954162 0.70765555]
 [0.56129837 0.20940606]]",2.0,2879,58.0
361,362,"[[0.33928556 1.71827692]
 [0.37359694 0.27357132]
 [0.20938681 1.37345592]
 [1.53747972 1.83108971]]",2.0,2888,9.0
362,363,"[[1.84511424 0.89650735]
 [1.95716379 1.36238456]
 [2.03250692 1.2338766 ]
 [0.09899027 0.56912878]]",2.0,2888,53.0
363,364,"[[1.41460237 0.72660767]
 [0.66721301 0.40038405]
 [1.80039899 1.10960625]
 [1.25560458 0.5491328 ]]",2.0,2889,52.0
364,365,"[[1.53292651 1.05330029]
 [1.45950771 0.2945714 ]
 [1.634962   0.5814883 ]
 [1.5706527  0.67706998]]",2.0,2890,56.0
365,366,"[[0.54871172 1.60715123]
 [0.98665692 1.3088773 ]
 [1.48919965 1.78198484]
 [0.81755038 0.5878639 ]]",2.0,2890,54.0
366,367,"[[1.80277982 0.24675872]
 [1.74933993 1.2632467 ]
 [1.27645036 1.74864698]
 [0.75997958 1.81616814]]",2.0,2891,55.0
367,368,"[[1.02990142 1.2950337 ]
 [1.90697582 1.5138203 ]
 [1.48499856 1.34620876]
 [1.03641154 0.142894  ]]",2.0,2922,34.0
368,369,"[[0.52779884 1.4875184 ]
 [1.74424796 1.5501802 ]
 [0.20669866 0.90551475]
 [0.43947556 1.60922311]]",2.0,2923,35.0
369,370,"[[0.15259887 2.02012656]
 [1.6738085  1.27585692]
 [1.75368835 1.36868885]
 [1.49702783 0.27038442]]",2.0,3001,111.0
370,371,"[[0.27378267 0.15209498]
 [1.13934153 0.6333098 ]
 [1.07521374 0.12741192]
 [1.67496861 0.30902921]]",2.0,3005,115.0
371,372,"[[1.81548551 1.77360736]
 [1.42955134 0.81653245]
 [0.52775495 0.82000516]
 [0.86409338 1.48038346]]",2.0,3008,117.0
372,373,"[[1.48437352 0.52890838]
 [1.13011274 1.38285065]
 [0.1483274  0.43671597]
 [0.43367339 1.50056412]]",2.0,3009,86.0
373,374,"[[1.39335168 0.54706061]
 [1.72439641 0.68953251]
 [0.32954481 1.52546061]
 [0.74587611 0.5875958 ]]",2.0,3009,8.0
374,375,"[[2.02395528 1.47406687]
 [0.78492972 1.51742136]
 [1.48690188 1.80607741]
 [0.33451835 1.34501086]]",2.0,3011,89.0
375,376,"[[0.90164209 0.30725524]
 [0.85768758 0.69498197]
 [0.57097845 0.57580436]
 [1.76254603 2.05122345]]",2.0,3015,126.0
376,377,"[[1.21074018 0.45279836]
 [1.58308305 1.85194772]
 [0.28177275 1.30890606]
 [0.92331333 1.55918353]]",2.0,3040,35.0
377,378,"[[1.00165378 1.40719019]
 [1.35069414 0.92583644]
 [0.90169057 1.35799437]
 [2.00577561 0.70220741]]",2.0,3113,102.0
378,379,"[[0.23848921 1.53753161]
 [1.15098071 2.00719888]
 [0.13235675 1.15390208]
 [1.99784577 0.67442771]]",2.0,3120,105.0
379,380,"[[1.43415896 0.19431032]
 [0.95406314 0.28408868]
 [2.00361598 0.84966997]
 [1.95649805 0.91890507]]",2.0,3121,112.0
380,381,"[[1.16983765 0.50287857]
 [0.98200308 0.89168127]
 [1.54085531 1.19825518]
 [1.74014435 1.76625637]]",2.0,3121,112.0
381,382,"[[0.70268583 0.076903  ]
 [0.25234614 0.39864668]
 [1.6216575  0.71912962]
 [0.74561395 1.33135165]]",2.0,3121,113.0
382,383,"[[1.56115024 1.2380061 ]
 [0.46953866 0.11296295]
 [2.04812692 1.84557382]
 [1.72287317 0.29260154]]",2.0,3123,10.0
383,384,"[[0.40237115 0.85919719]
 [0.45950166 0.84083507]
 [0.39291584 0.11158806]
 [0.12268097 0.27614041]]",2.0,3125,85.0
384,385,"[[1.2627543  0.72661861]
 [0.88645131 1.37206696]
 [0.99841226 2.00946909]
 [1.16945978 1.04560792]]",2.0,3131,10.0
385,386,"[[0.94868985 1.20180779]
 [0.97633093 1.42809064]
 [1.44890784 0.10082714]
 [1.80409472 1.65062345]]",2.0,3132,12.0
386,387,"[[2.03498691 0.7541089 ]
 [0.10174231 1.1484511 ]
 [1.50436125 0.12608662]
 [0.48604581 2.00197276]]",2.0,3132,11.0
387,388,"[[1.48631439 1.9246296 ]
 [0.04808278 1.2403317 ]
 [1.75302921 1.77849114]
 [0.60838264 1.71318722]]",2.0,3132,9.0
388,389,"[[1.61200824 1.53747961]
 [1.49196512 1.34547521]
 [1.16808449 0.46015432]
 [0.84888818 0.55795952]]",2.0,3133,12.0
389,390,"[[0.56436803 1.69763846]
 [0.29312816 0.96856494]
 [0.50643697 2.01854541]
 [0.97667935 0.55624423]]",2.0,3135,10.0
390,391,"[[0.83421593 1.02001985]
 [0.93836153 1.38982358]
 [1.79730337 0.56997476]
 [0.56527621 0.59101664]]",2.0,3140,8.0
391,392,"[[0.78406835 1.02504367]
 [0.1836511  1.95421441]
 [0.95725684 0.16036247]
 [0.72797621 0.35668841]]",2.0,3141,9.0
392,393,"[[0.48900733 1.45946253]
 [1.5203169  0.68416179]
 [0.87239669 0.848249  ]
 [1.75993679 0.8592757 ]]",2.0,3141,8.0
393,394,"[[0.58045005 1.76689413]
 [1.92768499 1.92109408]
 [0.35215986 1.44696553]
 [1.2158995  1.2106617 ]]",2.0,3142,10.0
394,395,"[[1.36126429 0.6734354 ]
 [1.23128449 0.26687887]
 [1.95032492 0.23229936]
 [1.46275942 1.81801081]]",2.0,3142,11.0
395,396,"[[0.36750465 0.8411699 ]
 [1.05787289 0.35419778]
 [1.43922336 1.70566832]
 [1.38145635 0.66919851]]",2.0,3144,9.0
396,397,"[[0.42546169 1.12509781]
 [1.64088932 1.65218026]
 [1.51082764 1.5508733 ]
 [0.0701667  0.90304359]]",2.0,3151,10.0
397,398,"[[0.81255129 1.88364602]
 [0.41484342 1.05213378]
 [1.80019178 0.88207617]
 [0.08695183 1.63591165]]",2.0,3151,11.0
398,399,"[[0.14202452 1.48490599]
 [1.6624166  1.0573697 ]
 [1.89721329 1.56919815]
 [0.69505203 1.64494755]]",2.0,3152,10.0
399,400,"[[0.81284966 1.17154372]
 [1.85303488 1.9103713 ]
 [0.41719828 0.51739205]
 [1.73090599 0.61743049]]",2.0,3152,11.0
400,401,"[[0.05454464 0.54732657]
 [0.04314397 0.88886215]
 [1.27746843 0.29609914]
 [0.34928067 1.16750532]]",2.0,3153,9.0
401,402,"[[0.85591366 1.17037178]
 [1.0174208  0.53400312]
 [2.01688005 0.41958651]
 [1.72516846 1.68143881]]",2.0,3154,12.0
402,403,"[[1.91538168 1.6054718 ]
 [0.37562737 1.2825267 ]
 [0.87335074 0.6575087 ]
 [1.3807249  0.94843502]]",2.0,3168,14.0
403,404,"[[1.76838129 0.85585789]
 [0.31271551 1.38479343]
 [1.29987656 1.25182667]
 [0.10142031 1.36005949]]",2.0,3169,17.0
404,405,"[[0.29237594 0.77519247]
 [1.37781829 1.77741679]
 [1.42436171 2.01065941]
 [0.08205816 1.36090703]]",2.0,3171,18.0
405,406,"[[1.41778871 0.40871738]
 [0.6420423  1.67315552]
 [0.95083654 0.44332505]
 [1.08223553 1.28922908]]",2.0,3172,21.0
406,407,"[[1.55900075 0.28028641]
 [0.48084085 0.10501374]
 [1.89118083 0.24669769]
 [0.92363764 0.14365851]]",2.0,3173,21.0
407,408,"[[0.83084327 1.73160233]
 [1.29730688 0.61490257]
 [1.47611184 1.14670104]
 [1.21298361 2.02935735]]",2.0,3180,12.0
408,409,"[[1.44587288 0.89306067]
 [0.74322231 1.61999285]
 [1.68998896 0.65546937]
 [0.98369353 1.78200329]]",2.0,3181,10.0
409,410,"[[1.93738389 2.00757427]
 [0.10021899 0.4642786 ]
 [0.08274509 1.37983816]
 [1.57250939 1.62449137]]",2.0,3181,8.0
410,411,"[[0.67393788 0.66325688]
 [1.75080548 0.37481756]
 [1.08130604 1.64448676]
 [0.08386816 0.20173452]]",2.0,3181,12.0
411,412,"[[0.36689879 0.98576168]
 [1.22650112 0.37201768]
 [1.43731883 0.30433297]
 [1.98746828 1.7761968 ]]",2.0,3181,9.0
412,413,"[[1.99135696 1.13822365]
 [0.49095307 0.90570645]
 [1.57633997 0.96139737]
 [1.34910024 0.54523643]]",2.0,3183,32.0
413,414,"[[0.74558987 1.73211747]
 [1.4438027  1.17054989]
 [0.26233245 1.31489469]
 [0.16803756 0.51166203]]",2.0,3191,11.0
414,415,"[[1.129836   0.67982407]
 [1.64434351 0.14140819]
 [0.22184646 0.78144368]
 [0.15019496 0.22477295]]",2.0,3191,10.0
415,416,"[[0.40894273 1.09021995]
 [0.64322784 1.33773436]
 [1.19686293 1.13510298]
 [1.88364106 1.18462985]]",2.0,3191,10.0
416,417,"[[0.26742686 0.56023607]
 [0.2443705  0.0664259 ]
 [1.56403613 1.84734759]
 [0.95699793 0.8825896 ]]",2.0,3191,10.0
417,418,"[[0.87724289 0.83147784]
 [0.95558088 0.25468589]
 [1.874684   0.67570173]
 [1.8443643  0.34876855]]",2.0,3191,10.0
418,419,"[[0.67292642 1.62536757]
 [0.80406803 1.38151293]
 [1.51990123 0.26532723]
 [1.79522917 1.53748648]]",2.0,3193,10.0
419,420,"[[2.04687303 1.99591355]
 [1.55186598 0.86740922]
 [0.06142747 1.46843538]
 [0.23719309 0.10896573]]",2.0,3199,8.0
420,421,"[[1.1200733  0.26891646]
 [1.61568902 1.95621186]
 [0.96132512 1.71279577]
 [1.64964795 1.60825095]]",2.0,3200,9.0
421,422,"[[0.24262024 0.47583744]
 [2.0162275  2.00289004]
 [0.5039237  1.99267229]
 [1.46420323 1.32989358]]",2.0,3200,9.0
422,423,"[[1.22455975 0.98048179]
 [1.3160008  1.01986623]
 [0.87470968 1.38870974]
 [1.00223246 0.3327322 ]]",2.0,3201,10.0
423,424,"[[0.94995842 1.14600478]
 [0.08920262 1.82430782]
 [0.46989516 0.31896529]
 [1.3182919  1.00937367]]",2.0,3201,10.0
424,425,"[[1.47466834 1.04330351]
 [0.67202769 0.84818656]
 [0.33107936 1.27870556]
 [1.70160706 0.24529036]]",2.0,3202,9.0
425,426,"[[0.35010678 0.20322788]
 [1.96939277 0.70054098]
 [0.98970751 1.24354109]
 [1.30871108 0.19731923]]",2.0,3209,10.0
426,427,"[[0.13769275 1.9165236 ]
 [0.79331566 0.27450256]
 [2.04231619 1.02876566]
 [0.43416442 1.86824364]]",2.0,3210,9.0
427,428,"[[0.94577663 1.98149202]
 [1.59316146 0.34334727]
 [1.52028844 1.67764234]
 [1.90344806 1.75075104]]",2.0,3210,10.0
428,429,"[[0.3128229  1.89900447]
 [1.06013366 1.99598329]
 [0.62532028 0.89435699]
 [1.84856741 0.53591055]]",2.0,3210,10.0
429,430,"[[0.90213292 0.81387961]
 [1.36417334 0.75189996]
 [1.45560376 0.7039427 ]
 [0.48167103 0.25252187]]",2.0,3211,10.0
430,431,"[[1.05481808 0.05133096]
 [1.5546193  0.58385723]
 [1.26794462 1.03455085]
 [0.54511708 1.61217244]]",2.0,3212,10.0
431,432,"[[2.00222211 0.3194173 ]
 [0.90810029 1.11552383]
 [0.27814876 1.4932829 ]
 [0.44486463 1.86253073]]",2.0,3244,34.0
432,433,"[[0.76664566 0.70145161]
 [1.43876225 1.00373731]
 [1.67171142 1.48968212]
 [0.96258884 0.91525785]]",2.0,3275,63.0
433,434,"[[0.88659851 1.73425099]
 [1.40879486 0.14721812]
 [1.98156655 1.06781026]
 [0.31159122 1.79579092]]",2.0,3277,67.0
434,435,"[[0.24223491 1.57386314]
 [0.90211654 1.82095967]
 [0.57694036 1.55449179]
 [1.95153559 0.14088175]]",2.0,3290,80.0
435,436,"[[1.4916386  1.58629396]
 [1.38102931 0.55210335]
 [0.76744538 1.1700179 ]
 [0.41777763 1.47266427]]",2.0,3295,86.0
436,437,"[[1.75735255 0.73906561]
 [0.94073948 2.0089748 ]
 [0.4565956  0.47241422]
 [1.8800631  1.70310317]]",2.0,3298,21.0
437,438,"[[1.48028924 1.66094101]
 [0.90300541 0.45279717]
 [0.3854182  0.70877873]
 [1.07847675 0.54153913]]",2.0,3299,88.0
438,439,"[[0.57224709 1.75781265]
 [0.43391379 0.06459942]
 [0.24342808 2.0526861 ]
 [0.918066   1.80300998]]",2.0,3302,58.0
439,440,"[[1.6811545  1.68931348]
 [0.18317906 0.88627468]
 [0.42270868 1.81215925]
 [1.52811838 0.08282717]]",2.0,3303,13.0
440,441,"[[1.17019337 0.20188921]
 [0.66300299 0.25152615]
 [0.20444442 1.85076999]
 [0.35575702 0.6145665 ]]",2.0,3305,30.0
441,442,"[[0.82949501 1.18654854]
 [0.17753039 1.14604773]
 [0.88868707 1.11193145]
 [0.47506312 0.37087643]]",2.0,3307,12.0
442,443,"[[2.01455308 0.27431939]
 [0.6214589  0.58141988]
 [1.51970527 0.85365897]
 [1.96210636 0.63506613]]",2.0,3308,10.0
443,444,"[[1.83689888 1.29712151]
 [1.17544436 1.76809688]
 [0.38460868 0.19894839]
 [0.96267991 0.07035505]]",2.0,3311,12.0
444,445,"[[2.02697242 0.97595557]
 [0.06038539 0.2208741 ]
 [1.91076366 0.28062673]
 [1.80568033 0.74216472]]",2.0,3315,13.0
445,446,"[[0.61727412 1.07217199]
 [1.74422021 1.74065102]
 [1.07827195 2.04328976]
 [0.884395   1.81887863]]",2.0,3316,9.0
446,447,"[[1.11957534 0.72483478]
 [1.12200691 0.1126245 ]
 [1.24529428 0.65076631]
 [1.11994796 1.63742767]]",2.0,3316,13.0
447,448,"[[0.79226995 0.488326  ]
 [0.22141808 0.28614943]
 [0.11248195 1.7118284 ]
 [0.28160512 0.88223318]]",2.0,3316,11.0
448,449,"[[0.33512683 1.72479655]
 [0.7158847  0.12312169]
 [0.76623133 1.97177326]
 [0.13662281 1.60822086]]",2.0,3317,9.0
449,450,"[[1.59361955 0.84323843]
 [0.68730222 0.77924016]
 [0.58046511 1.45709142]
 [1.96810831 0.20988791]]",2.0,3348,37.0
450,451,"[[0.24453726 0.4064745 ]
 [0.91561104 1.00743393]
 [0.13491087 1.25650772]
 [1.92709971 0.46749523]]",2.0,3356,40.0
451,452,"[[1.2103953  0.7081636 ]
 [1.34216112 1.91084043]
 [1.34090984 1.83621798]
 [0.72391679 1.40320772]]",2.0,3356,8.0
452,453,"[[1.4272539  1.77850082]
 [0.44019803 0.27837477]
 [1.44779997 1.08594156]
 [0.92251452 1.44294687]]",2.0,3357,42.0
453,454,"[[1.08617907 1.06173478]
 [0.38518168 1.06754701]
 [1.98590108 0.99426029]
 [1.62896265 0.36296624]]",2.0,3357,41.0
454,455,"[[0.68042713 1.62128546]
 [0.98952699 1.5988581 ]
 [1.16873757 1.60320726]
 [0.97169869 0.3648176 ]]",2.0,3358,42.0
455,456,"[[1.87503564 1.8780807 ]
 [1.55250286 1.1140514 ]
 [1.32165224 0.10359237]
 [0.39233094 1.3389475 ]]",2.0,3358,41.0
456,457,"[[0.08077222 1.57474429]
 [1.70241863 1.10685674]
 [1.99538047 1.31560827]
 [1.74790393 1.19757097]]",2.0,3396,38.0
457,458,"[[0.37288789 1.47738608]
 [1.00451546 1.37267375]
 [0.97640877 0.07863379]
 [0.58086828 1.29210999]]",2.0,3401,45.0
458,459,"[[1.30134829 0.81336699]
 [0.14627057 0.74397243]
 [0.97476395 0.42058628]
 [1.17090735 1.46295756]]",2.0,3403,46.0
459,460,"[[1.88829845 1.53029502]
 [0.12978018 0.14663695]
 [1.30833454 0.91464312]
 [1.74621662 1.98044685]]",2.0,3403,47.0
460,461,"[[0.94109322 0.92861816]
 [1.44172577 1.73542354]
 [1.84968794 1.53199209]
 [0.06682306 0.32918281]]",2.0,3405,47.0
461,462,"[[0.51115283 0.74816777]
 [0.44838458 1.00058447]
 [0.65920771 0.13209803]
 [0.73019836 0.87026474]]",2.0,3421,64.0
462,463,"[[0.3613735  0.89010429]
 [1.84263574 0.50146081]
 [0.61209262 0.4560226 ]
 [1.86798426 0.78357635]]",2.0,3423,27.0
463,464,"[[0.56116174 1.98201673]
 [1.00728554 0.95062965]
 [1.60511491 0.84514072]
 [0.96597116 1.69744848]]",2.0,3427,24.0
464,465,"[[1.70295702 1.28253379]
 [1.94756028 0.08330406]
 [1.38374538 0.66818632]
 [1.19360301 0.52782844]]",2.0,3429,28.0
465,466,"[[0.65224412 0.47551559]
 [1.76933331 1.37346845]
 [0.12731467 1.11911673]
 [0.03084438 2.02694737]]",2.0,3429,26.0
466,467,"[[0.2109986  0.64732711]
 [1.09959859 1.81721761]
 [0.40243205 1.81334622]
 [0.83661189 1.70258978]]",2.0,3430,25.0
467,468,"[[0.24801802 1.88260901]
 [0.28650312 1.02260319]
 [0.69471335 1.58622419]
 [1.56590567 0.92844899]]",2.0,3432,11.0
468,469,"[[1.08352891 0.54155231]
 [1.71877013 1.7932757 ]
 [1.65005118 0.67069094]
 [0.21598207 1.17194375]]",2.0,3441,14.0
469,470,"[[1.6188769  0.88818027]
 [0.75372175 0.25230242]
 [1.92779143 1.72919759]
 [0.97324499 0.27198969]]",2.0,3441,12.0
470,471,"[[1.2530693  1.91767919]
 [0.24133327 0.87358869]
 [1.12945654 0.87944065]
 [1.53583287 1.40802552]]",2.0,3441,12.0
471,472,"[[0.05429138 0.54416433]
 [1.67137609 1.08356585]
 [1.77773308 0.4288753 ]
 [1.48857284 1.91650517]]",2.0,3442,10.0
472,473,"[[1.19812916 0.42087548]
 [0.15928319 2.015473  ]
 [0.1829321  1.4081248 ]
 [0.78003392 0.7126551 ]]",2.0,3443,13.0
473,474,"[[1.62587084 1.4662816 ]
 [1.38283988 0.29430859]
 [1.23258432 0.25481434]
 [1.96944091 0.49950125]]",2.0,3444,21.0
474,475,"[[1.32721112 0.82174714]
 [1.51683235 0.1318585 ]
 [1.00299448 1.76576655]
 [1.28215535 0.08969797]]",2.0,3451,9.0
475,476,"[[0.56005697 0.74507182]
 [0.35186168 0.90585699]
 [0.88500123 0.11159866]
 [1.11026879 0.47189808]]",2.0,3452,11.0
476,477,"[[0.32484499 0.81907525]
 [0.90444967 1.76768237]
 [0.51811292 0.56185356]
 [0.98792376 0.36671546]]",2.0,3452,11.0
477,478,"[[0.29507201 0.4094636 ]
 [0.94211419 0.43406286]
 [0.11676707 0.28231572]
 [0.7753944  0.16987132]]",2.0,3453,12.0
478,479,"[[1.18257707 1.94838878]
 [0.94409593 0.15861256]
 [0.91744974 1.39040387]
 [0.58684227 0.10235933]]",2.0,3453,10.0
479,480,"[[1.60030701 1.85886488]
 [1.78603344 1.87336472]
 [1.10547487 0.96295922]
 [0.34928148 0.41101051]]",2.0,3454,10.0
480,481,"[[0.80133997 0.29662365]
 [0.24249305 1.01712948]
 [1.32831068 1.26529982]
 [0.85847026 0.40427842]]",2.0,3462,9.0
481,482,"[[1.45080458 1.16753811]
 [1.52111812 1.11898265]
 [1.78410888 1.8104666 ]
 [1.80531953 1.78054872]]",2.0,3464,10.0
482,483,"[[1.69372333 0.11851347]
 [0.08659278 0.16397388]
 [1.93609448 1.66812363]
 [1.94096955 0.08821866]]",2.0,3464,11.0
483,484,"[[0.59015887 0.85412453]
 [1.23859968 1.64013112]
 [1.3257597  0.14602931]
 [1.1450176  0.65996454]]",2.0,3465,13.0
484,485,"[[1.06556016 1.61209498]
 [1.04326793 0.10711515]
 [0.73621663 0.47535002]
 [1.48687603 0.74199222]]",2.0,3466,15.0
485,486,"[[1.36410173 0.20146767]
 [1.10272718 0.48527286]
 [1.29284703 1.7987062 ]
 [0.22155558 0.67101732]]",2.0,3466,14.0
486,487,"[[1.86948807 1.45246048]
 [1.29577058 0.43286479]
 [1.39408835 0.81452217]
 [1.64352302 0.54187189]]",2.0,3497,35.0
487,488,"[[0.83476431 1.78743726]
 [0.55351628 0.43233302]
 [1.27079398 0.14293806]
 [0.98780369 2.03531028]]",2.0,3501,37.0
488,489,"[[0.96025367 0.69238983]
 [0.37535518 1.29359787]
 [0.26021737 1.73279897]
 [1.39553406 1.91333889]]",2.0,3504,40.0
489,490,"[[0.55869977 0.25297658]
 [0.07388017 1.05363219]
 [1.41579333 0.2295425 ]
 [1.33001995 1.181036  ]]",2.0,3513,12.0
490,491,"[[1.89797154 1.79722394]
 [1.36122647 2.00885493]
 [0.28883306 2.00604008]
 [1.86603549 0.6356524 ]]",2.0,3514,10.0
491,492,"[[1.79617268 1.72124715]
 [1.64801644 0.23172983]
 [1.46572501 0.60592426]
 [1.46589072 0.32979639]]",2.0,3518,53.0
492,493,"[[0.98477529 0.24201564]
 [0.23995151 0.3042962 ]
 [1.25772636 1.05532995]
 [0.2793269  0.46023338]]",2.0,3518,52.0
493,494,"[[1.83707486 0.69494909]
 [0.11915114 1.11758313]
 [1.62218511 0.74471278]
 [0.20384989 1.9863679 ]]",2.0,3518,21.0
494,495,"[[1.91362401 1.1246028 ]
 [0.57830636 0.37930148]
 [1.7624876  1.49660739]
 [0.97530351 0.60431504]]",2.0,3519,53.0
495,496,"[[0.76577173 1.2404375 ]
 [0.93319665 0.97142239]
 [0.88874159 0.417343  ]
 [1.52111125 0.67986949]]",2.0,3523,10.0
496,497,"[[1.27329739 0.36284099]
 [0.68608789 0.4058217 ]
 [0.29757569 1.92272039]
 [0.74191132 1.37556014]]",2.0,3524,10.0
497,498,"[[1.73776844 1.10055123]
 [0.25040106 2.04733652]
 [1.35474323 0.69556913]
 [0.96285403 1.81974034]]",2.0,3527,9.0
498,499,"[[0.08405804 1.68603982]
 [1.24826494 1.07400342]
 [0.32030703 0.46157176]
 [0.32698233 0.10141541]]",2.0,3527,9.0
499,500,"[[2.01745243 1.89577651]
 [1.28514104 1.56720528]
 [1.1665588  0.71045481]
 [0.94800841 0.78951216]]",2.0,3530,12.0
500,501,"[[0.12773948 0.65446044]
 [1.73919561 0.94575419]
 [1.92262697 0.68846779]
 [1.39466149 1.43931394]]",2.0,3533,14.0
501,502,"[[1.91987218 0.32049083]
 [1.75658634 0.90151837]
 [0.68427036 0.27598791]
 [1.06079401 1.35194933]]",2.0,3536,13.0
502,503,"[[1.16025075 1.77367744]
 [0.28134732 2.04463225]
 [0.29720267 1.54740245]
 [1.24483989 1.01597086]]",2.0,3537,13.0
503,504,"[[1.78081792 0.72592378]
 [1.21934224 1.64382138]
 [1.57301089 1.44949435]
 [0.67868078 1.5206555 ]]",2.0,3540,13.0
504,505,"[[1.51978584 1.44544513]
 [0.47207169 0.14288502]
 [0.49791698 0.59830634]
 [0.42088705 0.64864585]]",2.0,3540,13.0
505,506,"[[0.60978968 1.39454199]
 [2.01994302 1.68173994]
 [0.51970165 1.6956178 ]
 [0.76839507 0.28937606]]",2.0,3573,37.0
506,507,"[[0.68190578 0.94299203]
 [0.75453062 1.2116223 ]
 [1.07991575 0.50168925]
 [0.96218379 0.4938488 ]]",2.0,3581,41.0
507,508,"[[0.97188244 1.23360016]
 [0.55279742 0.96465773]
 [0.84900431 1.51385739]
 [1.25688155 1.30698125]]",2.0,3582,42.0
508,509,"[[0.14512652 0.32673461]
 [1.04827009 1.66176603]
 [0.63196125 1.60031847]
 [1.65482633 0.91609949]]",2.0,3582,49.0
509,510,"[[1.10266147 1.56005217]
 [0.87713439 1.94661642]
 [0.68701879 1.23605801]
 [1.72075196 0.66876184]]",2.0,3583,10.0
510,511,"[[1.52534874 1.08082517]
 [0.30068735 0.5871898 ]
 [1.10385951 0.85363333]
 [1.83452238 1.35373748]]",2.0,3583,46.0
511,512,"[[1.03267469 1.45859488]
 [0.47205352 1.22363087]
 [1.99707967 0.25564556]
 [0.4419959  1.94700384]]",2.0,3583,53.0
512,513,"[[1.87836316 0.89365242]
 [1.75558654 1.23322699]
 [0.50079258 0.16033232]
 [1.50598967 1.23867904]]",2.0,3645,62.0
513,514,"[[1.16663356 1.74485185]
 [1.17370525 1.97213554]
 [1.71731467 1.08213278]
 [1.98523103 0.18286864]]",2.0,3654,72.0
514,515,"[[0.82467646 0.95812162]
 [0.52616586 1.69267749]
 [0.59498085 0.49521683]
 [0.60038232 0.79388321]]",2.0,3658,77.0
515,516,"[[1.53566166 0.13953325]
 [1.61195691 0.4207703 ]
 [0.53701686 0.649532  ]
 [1.31081631 1.05258601]]",2.0,3658,76.0
516,517,"[[0.58700627 0.05232467]
 [1.22687939 1.00462879]
 [1.41653346 0.4234549 ]
 [0.65739236 0.55827972]]",2.0,3660,77.0
517,518,"[[1.17107577 1.28806515]
 [0.76330565 0.14641319]
 [1.24610151 0.51865314]
 [1.14152781 1.64000159]]",2.0,3664,19.0
518,519,"[[0.83778566 1.95614991]
 [1.96287914 0.23328655]
 [1.43179978 0.4070289 ]
 [0.38549847 0.24165434]]",2.0,3664,81.0
519,520,"[[0.38612164 1.60491435]
 [1.45194237 0.92384708]
 [0.32361623 1.84929765]
 [0.48843792 0.24482861]]",2.0,3665,11.0
520,521,"[[1.6660798  0.86090368]
 [1.73648365 0.60360374]
 [0.24773694 1.98012518]
 [2.02349516 0.45139382]]",2.0,3702,38.0
521,522,"[[0.96571334 0.36820608]
 [0.7772926  0.18581146]
 [1.4183688  0.38084528]
 [0.64443535 1.20298358]]",2.0,3702,38.0
522,523,"[[2.01946643 0.0364614 ]
 [1.13939197 1.18518351]
 [1.12592705 2.04028759]
 [1.17342486 0.58186705]]",2.0,3709,44.0
523,524,"[[1.64827323 1.71161927]
 [0.55382285 1.06091954]
 [0.30358753 0.15497006]
 [0.43672355 1.16209867]]",2.0,3715,57.0
524,525,"[[0.04874485 1.45495642]
 [1.63508416 1.07046377]
 [0.15828422 0.65583603]
 [1.31601815 1.33483803]]",2.0,3716,14.0
525,526,"[[1.97750145 1.04573458]
 [0.04764787 0.82127128]
 [0.22326248 1.85250798]
 [1.38357264 1.51548457]]",2.0,3720,60.0
526,527,"[[0.3692834  0.45138142]
 [0.42747999 1.76191169]
 [1.0894582  1.30595104]
 [0.10747056 1.32808702]]",2.0,3721,19.0
527,528,"[[0.75691912 1.66038541]
 [0.44468284 1.8760107 ]
 [0.95392461 1.79503758]
 [0.32122533 1.52110132]]",2.0,3722,64.0
