,number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
116,117,"[[0.66205852 0.89593101]
 [0.7545955  0.64979486]
 [1.30887841 0.78680132]
 [1.89177609 0.24479197]]",2.0,1158,41.0
117,118,"[[2.00552259 1.25832078]
 [0.2345476  1.14345645]
 [0.96701229 1.22190011]
 [1.30867361 0.88717551]]",2.0,1160,10.0
118,119,"[[0.30542953 1.25128412]
 [1.09704797 1.12086962]
 [0.55249748 1.00227297]
 [0.64806784 0.07059797]]",2.0,1164,10.0
119,120,"[[0.91320244 1.90048723]
 [1.14691583 0.92274286]
 [0.37602608 1.39314217]
 [1.56237232 1.93180267]]",2.0,1167,9.0
120,121,"[[1.72279406 0.29785901]
 [0.97878016 0.22863542]
 [0.78423698 1.59432099]
 [1.89594947 0.94983447]]",2.0,1167,9.0
121,122,"[[0.54661385 0.96858448]
 [1.09032954 1.08713243]
 [0.63134622 1.29443879]
 [1.2210074  0.43592838]]",2.0,1168,10.0
122,123,"[[0.22966206 1.90589638]
 [1.9495627  1.00535328]
 [2.0158894  0.79193692]
 [1.56133673 0.18388406]]",2.0,1168,10.0
123,124,"[[0.36505863 1.48135649]
 [0.53644389 0.83276993]
 [2.00546504 1.75693643]
 [0.43847204 1.56619287]]",2.0,1169,9.0
124,125,"[[0.80398298 0.31912124]
 [1.26270363 0.49756115]
 [1.02644954 0.53298555]
 [0.25009312 1.57766969]]",2.0,1220,56.0
125,126,"[[1.44554691 1.11067402]
 [1.23136714 1.65855888]
 [1.51703234 0.70457135]
 [1.62340581 2.01654563]]",2.0,1252,84.0
126,127,"[[1.89280009 0.54196335]
 [1.07019848 2.01067138]
 [1.77202424 0.73184901]
 [0.30910184 0.54184446]]",2.0,1252,84.0
127,128,"[[1.89704279 0.71744288]
 [0.78621275 1.51107194]
 [1.31033181 1.4567959 ]
 [0.16983118 0.18321086]]",2.0,1257,37.0
128,129,"[[1.30426475 1.83558264]
 [0.11333629 1.12597624]
 [0.18389391 0.15792749]
 [0.33849758 0.42662495]]",2.0,1257,90.0
129,130,"[[0.59633669 0.10822738]
 [1.05023558 1.63573294]
 [1.95450328 0.7898963 ]
 [1.23455826 0.39322156]]",2.0,1260,8.0
130,131,"[[0.12438747 1.78428111]
 [1.15885441 0.08713274]
 [1.17435709 1.82525242]
 [1.82449042 1.32801329]]",2.0,1261,9.0
131,132,"[[0.8964347  0.67434868]
 [0.737017   0.80619875]
 [0.71309896 0.59228831]
 [1.35805878 0.52839492]]",2.0,1271,14.0
132,133,"[[1.19305754 1.35628752]
 [1.20162335 1.77138601]
 [1.67180174 0.8331884 ]
 [0.6999208  1.46104282]]",2.0,1274,17.0
133,134,"[[0.27793175 1.87022257]
 [0.37280027 1.72447273]
 [0.27808627 0.06599048]
 [0.08480623 1.86814496]]",2.0,1275,14.0
134,135,"[[0.61808247 1.68165973]
 [0.36094121 0.38286314]
 [1.32339124 0.35203158]
 [0.52650012 0.74249214]]",2.0,1275,106.0
135,136,"[[1.92510167 1.03063326]
 [0.70622635 1.77066228]
 [1.07405457 0.8006285 ]
 [0.76099945 1.16694504]]",2.0,1285,14.0
136,137,"[[0.34746093 2.02401586]
 [0.16872901 1.5584675 ]
 [0.6113121  1.37103224]
 [0.97164639 1.65311486]]",2.0,1285,25.0
137,138,"[[1.98910122 1.52354904]
 [0.57161475 1.91091117]
 [1.64545867 1.80812109]
 [1.35617813 1.65534295]]",2.0,1293,126.0
138,139,"[[1.86245452 0.71466907]
 [1.51532613 0.69866647]
 [0.65663498 1.41604389]
 [1.99415331 1.27016818]]",2.0,1293,19.0
139,140,"[[0.88668357 1.6730457 ]
 [1.59153094 1.94464593]
 [0.98427173 1.44944339]
 [1.82331496 0.11902785]]",2.0,1294,9.0
140,141,"[[0.73797063 1.34659673]
 [0.06401619 0.22746941]
 [0.45575115 1.90454826]
 [0.82405882 1.64004039]]",2.0,1295,10.0
141,142,"[[1.12815858 0.28529479]
 [2.01078343 0.24117897]
 [1.46729846 0.13735424]
 [1.61921891 1.17031233]]",2.0,1297,22.0
142,143,"[[1.495586   1.85404286]
 [0.39800641 1.19832519]
 [1.5857817  1.44698733]
 [1.50519556 1.29467086]]",2.0,1297,22.0
143,144,"[[0.85797327 0.18235055]
 [0.11547369 1.11927261]
 [1.18282864 0.8403779 ]
 [1.42012407 0.11567986]]",2.0,1306,12.0
144,145,"[[0.85185798 1.77388852]
 [1.84510253 1.45263503]
 [1.36255655 0.09205465]
 [0.9752495  1.85039001]]",2.0,1306,13.0
145,146,"[[0.30321494 0.8000876 ]
 [1.6688458  1.24022267]
 [1.31562471 1.45319591]
 [1.90666343 0.64245684]]",2.0,1306,11.0
146,147,"[[1.567159   1.30503118]
 [0.48861637 1.31325775]
 [0.34588143 0.17356378]
 [1.20030872 1.52920184]]",2.0,1307,14.0
147,148,"[[1.11434529 1.7425981 ]
 [0.86679414 1.94674078]
 [1.07448942 0.1227132 ]
 [0.52745694 1.7815582 ]]",2.0,1307,10.0
148,149,"[[1.81472789 1.91361783]
 [1.70297404 1.27037742]
 [1.71527092 1.69544715]
 [1.49946788 1.25441014]]",2.0,1307,10.0
149,150,"[[0.19841022 1.97261719]
 [0.65580731 0.96772936]
 [0.61660934 1.44077743]
 [0.33088207 1.12417302]]",2.0,1321,15.0
