number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
365,"[[0.94963884 1.50605292]
 [1.4483877  1.76271102]
 [2.07968561 2.81925016]
 [1.70803342 1.99434049]]",0.0001,13541,500.0
366,"[[0.94970141 1.50609759]
 [1.44842143 1.76279446]
 [2.07971242 2.81925205]
 [1.70812106 1.99439865]]",0.0001,13542,500.0
367,"[[0.94978078 1.50611092]
 [1.44845595 1.76279935]
 [2.07977908 2.81933021]
 [1.70821932 1.99448722]]",0.0001,13543,500.0
368,"[[0.94985741 1.50611475]
 [1.44849746 1.76286396]
 [2.07983356 2.81938651]
 [1.70828804 1.99452661]]",0.0001,13543,500.0
369,"[[0.94986744 1.50620759]
 [1.44849944 1.76293412]
 [2.07987621 2.81943323]
 [1.70837743 1.99456604]]",0.0001,14036,500.0
370,"[[0.94994555 1.50622086]
 [1.44859596 1.76296156]
 [2.07992314 2.81950629]
 [1.70840335 1.99458623]]",0.0001,14038,500.0
371,"[[0.95000483 1.50625227]
 [1.44868998 1.76297399]
 [2.0800062  2.8195415 ]
 [1.70841269 1.99460047]]",0.0001,14040,500.0
372,"[[0.9500049  1.50631395]
 [1.44875346 1.76305025]
 [2.08007584 2.81955233]
 [1.70842142 1.9946564 ]]",0.0001,14040,500.0
373,"[[0.95003165 1.50639412]
 [1.4488253  1.76311904]
 [2.08017355 2.81961861]
 [1.70845937 1.9947084 ]]",0.0001,14041,500.0
374,"[[0.95006858 1.50645935]
 [1.44889248 1.76318956]
 [2.08020449 2.81964864]
 [1.7084936  1.99478675]]",0.0001,14041,500.0
375,"[[0.9500867  1.50651261]
 [1.44893319 1.76319111]
 [2.08021769 2.81967512]
 [1.708571   1.99485579]]",0.0001,14041,500.0
376,"[[0.95018517 1.50653953]
 [1.44894568 1.76327875]
 [2.08030907 2.81975117]
 [1.70861081 1.99491954]]",0.0001,14042,500.0
377,"[[0.95024443 1.50663671]
 [1.44900298 1.76334416]
 [2.08031619 2.81979664]
 [1.70864262 1.99496573]]",0.0001,14043,500.0
378,"[[0.95034365 1.50670705]
 [1.44908413 1.76339141]
 [2.08033233 2.81980467]
 [1.70869093 1.99502978]]",0.0001,14043,500.0
379,"[[0.95040234 1.50676581]
 [1.44912923 1.76344012]
 [2.08041481 2.8198946 ]
 [1.70871232 1.99511532]]",0.0001,14536,500.0
380,"[[0.9504554  1.50684988]
 [1.4491957  1.76346626]
 [2.08041953 2.81994621]
 [1.70871749 1.99517089]]",0.0001,14538,500.0
381,"[[0.95046622 1.50690212]
 [1.44927837 1.76353001]
 [2.08051609 2.81997408]
 [1.70879365 1.99520918]]",0.0001,14540,500.0
382,"[[0.95055768 1.50691086]
 [1.44931516 1.76359342]
 [2.08051716 2.81999111]
 [1.70885672 1.99525372]]",0.0001,14540,500.0
383,"[[0.9505619  1.5069577 ]
 [1.44935099 1.76361171]
 [2.08053961 2.82000775]
 [1.70894667 1.9953295 ]]",0.0001,14541,500.0
384,"[[0.95058724 1.50701652]
 [1.44940748 1.76370706]
 [2.08061372 2.8200736 ]
 [1.7089476  1.99541476]]",0.0001,14541,500.0
385,"[[0.95064096 1.50707095]
 [1.44942531 1.76374877]
 [2.08065989 2.82013826]
 [1.70897361 1.99547845]]",0.0001,14541,500.0
386,"[[0.95064635 1.50714125]
 [1.44943606 1.76379628]
 [2.08066586 2.8202228 ]
 [1.70905273 1.99552338]]",0.0001,14542,500.0
387,"[[0.95071981 1.50716324]
 [1.44944793 1.76380992]
 [2.08068396 2.82028157]
 [1.70910236 1.99560544]]",0.0001,14543,500.0
388,"[[0.9508114  1.50718498]
 [1.4494705  1.76388214]
 [2.08073399 2.82038045]
 [1.7091548  1.99569191]]",0.0001,14543,500.0
389,"[[0.95086446 1.5072036 ]
 [1.4494897  1.76397654]
 [2.08075507 2.82043932]
 [1.70919711 1.99571665]]",0.0001,15036,500.0
390,"[[0.95092951 1.50725536]
 [1.44957718 1.76405637]
 [2.08082579 2.8204526 ]
 [1.70924112 1.99574795]]",0.0001,15038,500.0
391,"[[0.95097009 1.50731819]
 [1.44960832 1.76414611]
 [2.08087896 2.82045518]
 [1.70933623 1.99576446]]",0.0001,15040,500.0
392,"[[0.9510077  1.50734045]
 [1.44970048 1.7642425 ]
 [2.08097807 2.8205549 ]
 [1.70935311 1.99586048]]",0.0001,15040,500.0
393,"[[0.95104476 1.50738971]
 [1.4497385  1.76428529]
 [2.08106066 2.82056352]
 [1.70939326 1.99593886]]",0.0001,15041,500.0
394,"[[0.95108795 1.50747294]
 [1.44979095 1.76430002]
 [2.0811571  2.82060004]
 [1.70941162 1.99594346]]",0.0001,15041,500.0
395,"[[0.95113026 1.50750959]
 [1.4498139  1.76436855]
 [2.0812198  2.82067648]
 [1.70942499 1.99595353]]",0.0001,15041,500.0
396,"[[0.95120257 1.5075898 ]
 [1.44984676 1.76442831]
 [2.08125368 2.82074922]
 [1.70944719 1.99599594]]",0.0001,15042,500.0
397,"[[0.95129926 1.50767083]
 [1.44987933 1.76445717]
 [2.08131835 2.82083064]
 [1.70952511 1.99606968]]",0.0001,15043,500.0
398,"[[0.95137812 1.50774324]
 [1.44994489 1.7645307 ]
 [2.08136703 2.82083843]
 [1.70956759 1.99611978]]",0.0001,15043,500.0
399,"[[0.95141843 1.50778142]
 [1.4499795  1.76463054]
 [2.08137352 2.82089005]
 [1.70961038 1.99616131]]",0.0001,15536,500.0
400,"[[0.95146762 1.50784829]
 [1.45006988 1.76467836]
 [2.08144267 2.82093291]
 [1.70969024 1.99619585]]",0.0001,15538,500.0
401,"[[0.95156314 1.50786043]
 [1.45014371 1.7647696 ]
 [2.08152063 2.82103142]
 [1.70975513 1.99621399]]",0.0001,15540,500.0
402,"[[0.95161665 1.50791728]
 [1.45023527 1.7648066 ]
 [2.08156418 2.82103185]
 [1.70983968 1.99630136]]",0.0001,15540,500.0
403,"[[0.9516623  1.50792626]
 [1.45025384 1.76481778]
 [2.08163332 2.82103764]
 [1.70987957 1.99630154]]",0.0001,15541,500.0
404,"[[0.95170092 1.50801675]
 [1.45025618 1.76483297]
 [2.08164061 2.82106582]
 [1.70991504 1.99639102]]",0.0001,15541,500.0
405,"[[0.9517671  1.50807256]
 [1.4502895  1.76491552]
 [2.08165492 2.82114486]
 [1.71000543 1.9964313 ]]",0.0001,15541,500.0
406,"[[0.95182353 1.50815022]
 [1.45033874 1.76492045]
 [2.08170548 2.82122049]
 [1.71007299 1.99650623]]",0.0001,15542,500.0
407,"[[0.95189777 1.5081785 ]
 [1.45039943 1.76493485]
 [2.08179301 2.82123379]
 [1.7101196  1.99651246]]",0.0001,15543,500.0
408,"[[0.95193784 1.5082347 ]
 [1.45046059 1.76500209]
 [2.08183082 2.82132372]
 [1.71019137 1.99653244]]",0.0001,15543,500.0
409,"[[0.95201837 1.50832768]
 [1.45051203 1.76503357]
 [2.08187485 2.82133486]
 [1.71026577 1.99661896]]",0.0001,16036,500.0
410,"[[0.95211729 1.50838052]
 [1.4505211  1.76505276]
 [2.08196924 2.82138688]
 [1.71028274 1.99663025]]",0.0001,16038,500.0
411,"[[0.95215216 1.50842328]
 [1.45055592 1.76514842]
 [2.0819931  2.82147993]
 [1.71028741 1.9966819 ]]",0.0001,16040,500.0
412,"[[0.95216173 1.50849256]
 [1.45057905 1.7652083 ]
 [2.08208227 2.82154238]
 [1.71037579 1.99673075]]",0.0001,16040,500.0
413,"[[0.95220038 1.50849564]
 [1.45066619 1.76526254]
 [2.08208246 2.82159767]
 [1.71046943 1.99682264]]",0.0001,16041,500.0
414,"[[0.95220405 1.50854729]
 [1.45070275 1.76526616]
 [2.08212653 2.82169089]
 [1.71049624 1.99682452]]",0.0001,16041,500.0
415,"[[0.95227375 1.50858903]
 [1.45072946 1.76530877]
 [2.08221234 2.82171934]
 [1.7105921  1.9968667 ]]",0.0001,16041,500.0
416,"[[0.95234266 1.50868187]
 [1.45078082 1.76531192]
 [2.08230859 2.82181111]
 [1.71065799 1.99690776]]",0.0001,16042,500.0
417,"[[0.95238242 1.50868606]
 [1.45087616 1.76534036]
 [2.08238087 2.82186905]
 [1.71073544 1.99697439]]",0.0001,16043,500.0
418,"[[0.95245787 1.50877256]
 [1.45096224 1.76543287]
 [2.082402   2.82188898]
 [1.71076122 1.99705001]]",0.0001,16043,500.0
419,"[[0.95249136 1.50878328]
 [1.45097651 1.7654517 ]
 [2.0824943  2.82191962]
 [1.71079142 1.99705653]]",0.0001,16536,500.0
420,"[[0.95257744 1.5087974 ]
 [1.45099281 1.76552794]
 [2.08253074 2.82193407]
 [1.7108615  1.99713586]]",0.0001,16538,500.0
421,"[[0.95263132 1.50888565]
 [1.45101398 1.76561323]
 [2.08261105 2.82197766]
 [1.71090738 1.99722393]]",0.0001,16540,500.0
422,"[[0.95266413 1.50896483]
 [1.45107342 1.76562929]
 [2.08262481 2.82204232]
 [1.7109208  1.99727089]]",0.0001,16540,500.0
423,"[[0.95271938 1.5090508 ]
 [1.45113964 1.76564904]
 [2.08270466 2.82210328]
 [1.71097384 1.99729357]]",0.0001,16541,500.0
424,"[[0.95272811 1.5091276 ]
 [1.45121217 1.76569111]
 [2.08273971 2.82214919]
 [1.71106835 1.99729865]]",0.0001,16541,500.0
425,"[[0.95277632 1.50920087]
 [1.45127561 1.76574867]
 [2.08281504 2.82217252]
 [1.7110978  1.99731025]]",0.0001,16541,500.0
426,"[[0.9528212  1.50922878]
 [1.45135048 1.7657491 ]
 [2.08288631 2.82218653]
 [1.71111938 1.99735619]]",0.0001,16542,500.0
427,"[[0.95289348 1.50923355]
 [1.45138593 1.76578807]
 [2.08290317 2.82219303]
 [1.71115483 1.99745324]]",0.0001,16543,500.0
428,"[[0.9529312  1.5093036 ]
 [1.45140487 1.76585632]
 [2.08296213 2.8222721 ]
 [1.71120109 1.99748443]]",0.0001,16543,500.0
429,"[[0.95302708 1.50938397]
 [1.4514325  1.76593122]
 [2.08300445 2.82230657]
 [1.71124708 1.99754785]]",0.0001,17036,500.0
430,"[[0.95308113 1.50940505]
 [1.45146068 1.76602464]
 [2.08306875 2.82234952]
 [1.71128344 1.99755388]]",0.0001,17038,500.0
431,"[[0.95316507 1.50950407]
 [1.45156037 1.76610323]
 [2.08307511 2.82239049]
 [1.71137244 1.9976128 ]]",0.0001,17040,500.0
432,"[[0.95322656 1.50953685]
 [1.45162815 1.76617686]
 [2.08307731 2.82241841]
 [1.71146825 1.99762797]]",0.0001,17040,500.0
433,"[[0.95329934 1.50961619]
 [1.45165873 1.76624739]
 [2.08309417 2.82245765]
 [1.71156631 1.99765638]]",0.0001,17041,500.0
434,"[[0.95331616 1.50966587]
 [1.45175394 1.76633492]
 [2.08309491 2.82255729]
 [1.71165934 1.99774173]]",0.0001,17041,500.0
435,"[[0.95337565 1.50974016]
 [1.45176253 1.76634391]
 [2.08313706 2.82261917]
 [1.71171057 1.99782771]]",0.0001,17041,500.0
436,"[[0.95345767 1.50974133]
 [1.45178379 1.76637422]
 [2.0832046  2.82263424]
 [1.71171092 1.99785277]]",0.0001,17042,500.0
437,"[[0.95354288 1.50981406]
 [1.45183006 1.76641278]
 [2.08322005 2.82272526]
 [1.71173105 1.99791486]]",0.0001,17043,500.0
438,"[[0.95354689 1.50983289]
 [1.4518893  1.76650995]
 [2.08329397 2.82281907]
 [1.71174246 1.99791942]]",0.0001,17043,500.0
439,"[[0.9535752  1.50984518]
 [1.45196466 1.7665156 ]
 [2.08336501 2.82282883]
 [1.71182933 1.99793454]]",0.0001,17536,500.0
440,"[[0.95361218 1.50992353]
 [1.45197202 1.76656268]
 [2.08341042 2.82292535]
 [1.71185834 1.99796273]]",0.0001,17538,500.0
441,"[[0.95371126 1.50998352]
 [1.45199376 1.76658143]
 [2.083449   2.82295627]
 [1.71189552 1.99799174]]",0.0001,17540,500.0
442,"[[0.95376329 1.51004119]
 [1.45202477 1.76660627]
 [2.08350192 2.82301624]
 [1.71196924 1.99803018]]",0.0001,17540,500.0
443,"[[0.95377295 1.51009408]
 [1.45208929 1.76665033]
 [2.08355205 2.82302789]
 [1.7120214  1.99804967]]",0.0001,17541,500.0
444,"[[0.95382983 1.51010931]
 [1.45218311 1.76671004]
 [2.08358179 2.82312593]
 [1.71202273 1.99814387]]",0.0001,17541,500.0
445,"[[0.95390423 1.51015225]
 [1.45220687 1.76677611]
 [2.08367339 2.82318562]
 [1.71209408 1.99816426]]",0.0001,17541,500.0
446,"[[0.95390505 1.51020443]
 [1.45229409 1.76685013]
 [2.08370764 2.82321444]
 [1.71218002 1.99822457]]",0.0001,17542,500.0
447,"[[0.95392141 1.51028704]
 [1.45238074 1.76689939]
 [2.08371858 2.82329671]
 [1.71224042 1.99825397]]",0.0001,17543,500.0
448,"[[0.95399179 1.51031067]
 [1.45242454 1.76696673]
 [2.08380403 2.82332687]
 [1.71228946 1.99830441]]",0.0001,17543,500.0
449,"[[0.95401335 1.5103584 ]
 [1.45244568 1.76704007]
 [2.08381008 2.82336775]
 [1.71232876 1.99833113]]",0.0001,18036,500.0
450,"[[0.9540612  1.51037629]
 [1.45244875 1.76710918]
 [2.08390752 2.82340391]
 [1.7123655  1.99841645]]",0.0001,18038,500.0
451,"[[0.95415155 1.51046867]
 [1.45250729 1.76720442]
 [2.0839628  2.82350199]
 [1.71238431 1.99850386]]",0.0001,18040,500.0
452,"[[0.95424594 1.51050147]
 [1.45254229 1.76725079]
 [2.08404215 2.82355746]
 [1.71243004 1.99851815]]",0.0001,18040,500.0
453,"[[0.95430737 1.51059135]
 [1.45256911 1.76729995]
 [2.08412854 2.8236269 ]
 [1.71245926 1.99854665]]",0.0001,18041,500.0
454,"[[0.95439626 1.5105994 ]
 [1.4525744  1.76731541]
 [2.08415872 2.82372316]
 [1.71246024 1.99863309]]",0.0001,18041,500.0
455,"[[0.95442365 1.51060649]
 [1.45262257 1.76739157]
 [2.08416283 2.8237942 ]
 [1.71248321 1.99870933]]",0.0001,18041,500.0
456,"[[0.95442658 1.5106878 ]
 [1.45269872 1.76740228]
 [2.08426251 2.82386757]
 [1.7125358  1.99872333]]",0.0001,18042,500.0
457,"[[0.9544554  1.51070928]
 [1.45272974 1.76741634]
 [2.08434195 2.82395191]
 [1.71260048 1.99879773]]",0.0001,18043,500.0
458,"[[0.9545301  1.51080377]
 [1.45273714 1.76749689]
 [2.08436117 2.8240147 ]
 [1.71261947 1.99884445]]",0.0001,18043,500.0
459,"[[0.95462354 1.51087506]
 [1.452786   1.767504  ]
 [2.0843689  2.82403518]
 [1.71268958 1.99885137]]",0.0001,18536,500.0
460,"[[0.95468911 1.51091725]
 [1.45287749 1.76758278]
 [2.08444019 2.82409767]
 [1.71273306 1.99892843]]",0.0001,18538,500.0
461,"[[0.95473787 1.51097125]
 [1.45296041 1.76767436]
 [2.08452717 2.82415386]
 [1.71276287 1.99899103]]",0.0001,18540,500.0
462,"[[0.95475069 1.51104593]
 [1.45300419 1.76768094]
 [2.08457401 2.82419916]
 [1.71279079 1.99901372]]",0.0001,18540,500.0
463,"[[0.95479242 1.51111993]
 [1.45306295 1.76773218]
 [2.08458785 2.82421725]
 [1.71279947 1.99910093]]",0.0001,18541,500.0
464,"[[0.95481107 1.51113661]
 [1.45312926 1.76779367]
 [2.0846609  2.82427232]
 [1.71284183 1.99912071]]",0.0001,18541,500.0
465,"[[0.95486311 1.511174  ]
 [1.45319962 1.76781822]
 [2.08470242 2.82436754]
 [1.7128729  1.99916732]]",0.0001,18541,500.0
466,"[[0.95488761 1.51122803]
 [1.45324772 1.76789895]
 [2.08480045 2.82437231]
 [1.71288745 1.99926119]]",0.0001,18542,500.0
467,"[[0.95489724 1.51131069]
 [1.45329469 1.76795582]
 [2.08481925 2.82439503]
 [1.71298532 1.99926478]]",0.0001,18543,500.0
468,"[[0.95493611 1.51140554]
 [1.45338257 1.76798705]
 [2.08484182 2.82443608]
 [1.71305725 1.99935971]]",0.0001,18543,500.0
469,"[[0.9549589  1.51149164]
 [1.45340298 1.76799461]
 [2.08488807 2.82449592]
 [1.71306122 1.99940802]]",0.0001,19036,500.0
470,"[[0.95499789 1.51157115]
 [1.45344088 1.76801882]
 [2.08491704 2.82452614]
 [1.7131261  1.99946704]]",0.0001,19038,500.0
471,"[[0.95508095 1.51162469]
 [1.45353898 1.76809475]
 [2.08493949 2.82455578]
 [1.71316542 1.99952044]]",0.0001,19040,500.0
472,"[[0.95515238 1.51164986]
 [1.45357439 1.76810918]
 [2.08501293 2.82465575]
 [1.71323258 1.99956193]]",0.0001,19040,500.0
473,"[[0.95518536 1.51168727]
 [1.45359194 1.76820798]
 [2.08504036 2.82474005]
 [1.71330283 1.99962067]]",0.0001,19041,500.0
474,"[[0.95518812 1.51175829]
 [1.45363812 1.76829727]
 [2.0850941  2.82474685]
 [1.71331556 1.99964603]]",0.0001,19041,500.0
475,"[[0.95524562 1.51182589]
 [1.45365974 1.76836592]
 [2.08512085 2.82477154]
 [1.71336062 1.99973356]]",0.0001,19041,500.0
476,"[[0.95525207 1.51191121]
 [1.45369503 1.76842545]
 [2.08521644 2.82481187]
 [1.71336125 1.99979356]]",0.0001,19042,500.0
477,"[[0.95530199 1.51197478]
 [1.45373331 1.76851818]
 [2.08526306 2.82487847]
 [1.71344822 1.99985003]]",0.0001,19043,500.0
478,"[[0.95534244 1.51198492]
 [1.4538133  1.76861057]
 [2.08527871 2.82497318]
 [1.71351403 1.99987711]]",0.0001,19043,500.0
479,"[[0.95543287 1.51201211]
 [1.45388032 1.76861088]
 [2.08535037 2.82502358]
 [1.7135312  1.99992423]]",0.0001,19536,500.0
480,"[[0.95545088 1.5120948 ]
 [1.45397218 1.76865327]
 [2.08544902 2.82509249]
 [1.71356228 1.99996662]]",0.0001,19538,500.0
481,"[[0.95549702 1.51212669]
 [1.45404632 1.76871455]
 [2.0855027  2.82515882]
 [1.71358816 2.00005268]]",0.0001,19540,500.0
482,"[[0.95558685 1.51216928]
 [1.45411106 1.76878478]
 [2.0855715  2.82518548]
 [1.71360488 2.00010488]]",0.0001,19540,500.0
483,"[[0.95558691 1.51219639]
 [1.45417502 1.76886737]
 [2.08559755 2.82524037]
 [1.71365021 2.00012237]]",0.0001,19541,500.0
484,"[[0.95564688 1.51228522]
 [1.45422038 1.76892649]
 [2.08565789 2.82533652]
 [1.71372491 2.00014588]]",0.0001,19541,500.0
485,"[[0.95574604 1.51236482]
 [1.45431772 1.76899803]
 [2.0856706  2.82543569]
 [1.71382079 2.00023018]]",0.0001,19541,500.0
486,"[[0.95578851 1.51238659]
 [1.45434424 1.76907942]
 [2.08576157 2.82543918]
 [1.71385016 2.00031589]]",0.0001,19542,500.0
487,"[[0.95588851 1.51243863]
 [1.45443943 1.76914865]
 [2.08576938 2.82546868]
 [1.71394438 2.00033376]]",0.0001,19543,500.0
488,"[[0.95597264 1.51251886]
 [1.45447973 1.7692399 ]
 [2.08581565 2.82549398]
 [1.71403111 2.00034486]]",0.0001,19543,500.0
489,"[[0.95603985 1.51254639]
 [1.45451587 1.76933452]
 [2.08583557 2.82553669]
 [1.71410754 2.00036624]]",0.0001,20036,500.0
490,"[[0.95611292 1.51256497]
 [1.4545221  1.76935268]
 [2.08588115 2.82559304]
 [1.71412167 2.00041507]]",0.0001,20038,500.0
491,"[[0.95611456 1.51259665]
 [1.45460919 1.76940085]
 [2.08592966 2.82565617]
 [1.71415929 2.00047555]]",0.0001,20040,500.0
492,"[[0.9562044  1.51267521]
 [1.45462067 1.76948153]
 [2.08593742 2.82567951]
 [1.71418393 2.00048638]]",0.0001,20040,500.0
493,"[[0.95629486 1.51267632]
 [1.45463511 1.76954141]
 [2.08594445 2.8257087 ]
 [1.71421791 2.00052133]]",0.0001,20041,500.0
494,"[[0.9563891  1.51271919]
 [1.45467248 1.76955394]
 [2.08596802 2.82572781]
 [1.71427751 2.00060699]]",0.0001,20041,500.0
495,"[[0.95646277 1.5127605 ]
 [1.45470361 1.76956782]
 [2.08597626 2.82576983]
 [1.71430797 2.00062416]]",0.0001,20041,500.0
496,"[[0.95651875 1.51281875]
 [1.45473223 1.76961539]
 [2.08599492 2.8257831 ]
 [1.71432849 2.00062915]]",0.0001,20042,500.0
497,"[[0.95661659 1.5128492 ]
 [1.45481581 1.76965946]
 [2.08602766 2.82578866]
 [1.71433151 2.00064549]]",0.0001,20043,500.0
498,"[[0.95663909 1.51291894]
 [1.45490584 1.76971851]
 [2.08603095 2.82587181]
 [1.71440759 2.0007297 ]]",0.0001,20043,500.0
499,"[[0.95666191 1.51292322]
 [1.45495173 1.7698088 ]
 [2.08604812 2.82590817]
 [1.71441228 2.00082182]]",0.0001,20536,500.0
500,"[[0.9567123  1.51296253]
 [1.45503148 1.76989525]
 [2.08611149 2.82590832]
 [1.71444523 2.00091496]]",0.0001,20538,500.0
501,"[[0.95672306 1.51299936]
 [1.4550884  1.7699732 ]
 [2.08618391 2.82597335]
 [1.71445878 2.0010076 ]]",0.0001,20540,500.0
502,"[[0.95681532 1.51300245]
 [1.45514124 1.76997919]
 [2.08624172 2.82601867]
 [1.71453415 2.00102174]]",0.0001,20540,500.0
503,"[[0.95687903 1.5130874 ]
 [1.45520294 1.76998248]
 [2.08631368 2.8261063 ]
 [1.71460868 2.00109085]]",0.0001,20541,500.0
504,"[[0.95695832 1.51314488]
 [1.45528302 1.77001247]
 [2.0863435  2.82615814]
 [1.71470222 2.00115828]]",0.0001,20541,500.0
505,"[[0.95704828 1.51320758]
 [1.45535944 1.77006173]
 [2.08639107 2.82617778]
 [1.71474011 2.00125026]]",0.0001,20541,500.0
506,"[[0.95711099 1.51320798]
 [1.45540849 1.77007445]
 [2.08641794 2.82618372]
 [1.71476773 2.00133107]]",0.0001,20542,500.0
507,"[[0.95713591 1.51324662]
 [1.45550848 1.77008276]
 [2.08647481 2.82625849]
 [1.71484009 2.00137395]]",0.0001,20543,500.0
508,"[[0.95722255 1.51326713]
 [1.4555257  1.77014828]
 [2.08653662 2.82635791]
 [1.71486168 2.00141044]]",0.0001,20543,500.0
509,"[[0.95724963 1.51328184]
 [1.45560745 1.77020951]
 [2.0865979  2.82644925]
 [1.71494845 2.00142905]]",0.0001,21036,500.0
510,"[[0.9573005  1.51337025]
 [1.45570192 1.77024063]
 [2.08659931 2.82649107]
 [1.71495344 2.00144643]]",0.0001,21038,500.0
511,"[[0.95730504 1.51337943]
 [1.45575759 1.77029076]
 [2.0866236  2.82651741]
 [1.71503492 2.00149915]]",0.0001,21040,500.0
512,"[[0.957357   1.51339978]
 [1.45577909 1.77037253]
 [2.08664249 2.8266042 ]
 [1.71508464 2.001539  ]]",0.0001,21040,500.0
513,"[[0.95735952 1.51340598]
 [1.45580577 1.77046216]
 [2.08667189 2.8266412 ]
 [1.71515014 2.0015605 ]]",0.0001,21041,500.0
514,"[[0.95743653 1.51345149]
 [1.45581584 1.77047696]
 [2.08669668 2.82670627]
 [1.71515911 2.00165087]]",0.0001,21041,500.0
515,"[[0.95747985 1.51351158]
 [1.45584163 1.77048796]
 [2.08673391 2.82679351]
 [1.71524534 2.00171037]]",0.0001,21041,500.0
516,"[[0.95757139 1.51354197]
 [1.45593532 1.77055703]
 [2.08674203 2.8268663 ]
 [1.71533978 2.00171753]]",0.0001,21042,500.0
517,"[[0.95757648 1.51356129]
 [1.45602712 1.77059748]
 [2.08675897 2.82692939]
 [1.71539434 2.00174829]]",0.0001,21043,500.0
518,"[[0.95758618 1.51365076]
 [1.45605763 1.77067933]
 [2.08683664 2.82700081]
 [1.71541177 2.00178083]]",0.0001,21043,500.0
519,"[[0.95767127 1.5136683 ]
 [1.45612135 1.77073671]
 [2.08685749 2.82707123]
 [1.71543532 2.00180214]]",0.0001,21536,500.0
520,"[[0.95767518 1.51372644]
 [1.45619242 1.77075116]
 [2.08686171 2.82714   ]
 [1.71547025 2.00188781]]",0.0001,21538,500.0
521,"[[0.95770149 1.51379018]
 [1.45627616 1.77079258]
 [2.08689092 2.8271681 ]
 [1.71556858 2.0019158 ]]",0.0001,21540,500.0
522,"[[0.95772151 1.51381263]
 [1.45629915 1.77079453]
 [2.08690218 2.827195  ]
 [1.71560333 2.00193761]]",0.0001,21540,500.0
523,"[[0.95780067 1.51388754]
 [1.45630257 1.7708294 ]
 [2.08692414 2.82724704]
 [1.71567688 2.00200015]]",0.0001,21541,500.0
524,"[[0.95789979 1.51395172]
 [1.45638674 1.77083042]
 [2.0869363  2.82733242]
 [1.7157428  2.00207967]]",0.0001,21541,500.0
525,"[[0.95799617 1.51403102]
 [1.45641574 1.77084212]
 [2.08693841 2.8273535 ]
 [1.71581523 2.00216351]]",0.0001,21541,500.0
526,"[[0.95807335 1.51411974]
 [1.45649883 1.77090262]
 [2.0869705  2.82735366]
 [1.71587887 2.0022054 ]]",0.0001,21542,500.0
527,"[[0.95816823 1.5141404 ]
 [1.45653001 1.77092185]
 [2.08705355 2.82744096]
 [1.71597255 2.00230154]]",0.0001,21543,500.0
528,"[[0.95821997 1.51416379]
 [1.45660488 1.77100531]
 [2.08706545 2.82748258]
 [1.71602992 2.00231052]]",0.0001,21543,500.0
529,"[[0.95823127 1.51419456]
 [1.4566422  1.77110397]
 [2.08712682 2.82757993]
 [1.7160566  2.00232639]]",0.0001,22036,500.0
530,"[[0.95829576 1.51429448]
 [1.45665038 1.77117844]
 [2.08718434 2.82761496]
 [1.71606416 2.00239146]]",0.0001,22038,500.0
531,"[[0.95835022 1.51432433]
 [1.45666342 1.77126109]
 [2.08728201 2.82763411]
 [1.7160956  2.00239509]]",0.0001,22040,500.0
532,"[[0.9584227  1.51442129]
 [1.45670178 1.77133843]
 [2.08734932 2.82767208]
 [1.71610805 2.0024078 ]]",0.0001,22040,500.0
533,"[[0.95847952 1.51451335]
 [1.45670444 1.77139148]
 [2.08743981 2.82776853]
 [1.71619824 2.00245626]]",0.0001,22041,500.0
534,"[[0.95854883 1.51456852]
 [1.45670509 1.77142424]
 [2.08751302 2.82782153]
 [1.71624442 2.00248822]]",0.0001,22041,500.0
535,"[[0.95855938 1.51466235]
 [1.456775   1.77149527]
 [2.08754132 2.827822  ]
 [1.71626497 2.00253114]]",0.0001,22041,500.0
536,"[[0.9586146  1.51467426]
 [1.45680314 1.77159468]
 [2.08754739 2.82787172]
 [1.71627925 2.00258052]]",0.0001,22042,500.0
537,"[[0.95865727 1.51471511]
 [1.45688776 1.77160646]
 [2.08754991 2.82789729]
 [1.71630731 2.00260696]]",0.0001,22043,500.0
538,"[[0.95867442 1.5147409 ]
 [1.4569284  1.77167418]
 [2.08760776 2.82790733]
 [1.71637035 2.00264366]]",0.0001,22043,500.0
539,"[[0.95876513 1.51482167]
 [1.45698423 1.77173047]
 [2.08765488 2.82793824]
 [1.71643215 2.00273297]]",0.0001,22536,500.0
540,"[[0.95884271 1.51491893]
 [1.45707086 1.77182974]
 [2.08770959 2.82796405]
 [1.71644396 2.00277194]]",0.0001,22538,500.0
541,"[[0.95893085 1.5150122 ]
 [1.45710059 1.77187439]
 [2.08779878 2.82801435]
 [1.71645087 2.00284881]]",0.0001,22540,500.0
542,"[[0.95896463 1.51505508]
 [1.45710503 1.77192091]
 [2.08789598 2.8280769 ]
 [1.71649025 2.00293301]]",0.0001,22540,500.0
543,"[[0.9589701  1.51510725]
 [1.4571317  1.77195645]
 [2.08795509 2.82811757]
 [1.71654821 2.00299565]]",0.0001,22541,500.0
544,"[[0.95900927 1.51515394]
 [1.45720483 1.77196445]
 [2.08799385 2.82812921]
 [1.71656756 2.00308041]]",0.0001,22541,500.0
545,"[[0.95903938 1.51522061]
 [1.45726795 1.77197563]
 [2.08809028 2.82822275]
 [1.71660611 2.00317666]]",0.0001,22541,500.0
546,"[[0.95908765 1.51523417]
 [1.45727633 1.77202219]
 [2.08810212 2.82823782]
 [1.71666484 2.00320373]]",0.0001,22542,500.0
