number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
67,"[[0.29237562 1.9685199 ]
 [1.46522668 1.58824466]
 [1.6392274  0.7082808 ]
 [1.9242052  1.15764127]]",2.0,475,9.0
68,"[[1.26644135 1.46053309]
 [0.77831535 0.67345427]
 [1.15073843 0.39079282]
 [0.93570071 0.500624  ]]",2.0,476,10.0
69,"[[1.18165515 1.28461608]
 [1.90074092 0.27471892]
 [1.57913809 0.782848  ]
 [1.37629829 1.1105844 ]]",2.0,479,11.0
70,"[[1.2931912  1.02835087]
 [0.2467764  0.74046379]
 [0.55508602 1.12309083]
 [1.51306408 0.46694301]]",2.0,479,13.0
71,"[[0.36168395 0.12178111]
 [1.39781664 0.12048679]
 [0.86513333 0.8920495 ]
 [1.59168615 0.81608982]]",2.0,479,11.0
72,"[[0.14937155 1.6312372 ]
 [0.01205671 0.81320351]
 [0.40935832 1.79614353]
 [0.072704   1.27591345]]",2.0,481,12.0
73,"[[1.22941643 1.03545611]
 [0.41656417 1.99968039]
 [1.1273605  1.09254279]
 [1.06732025 1.85421291]]",2.0,482,9.0
74,"[[0.84806646 0.00696068]
 [0.42911166 0.63946879]
 [1.07079494 1.80368703]
 [1.72315553 0.16197925]]",2.0,483,11.0
75,"[[0.46042659 0.56745678]
 [1.59702912 0.75745992]
 [0.35883833 0.63510659]
 [0.97282304 0.64340557]]",2.0,484,10.0
76,"[[0.55311164 0.86212119]
 [0.94395533 1.84767383]
 [0.4181982  1.23081302]
 [1.30085475 1.91411944]]",2.0,493,18.0
77,"[[1.70400245 0.99824015]
 [1.05439876 0.35061736]
 [1.0233052  1.32183288]
 [1.34583157 1.99754522]]",2.0,494,21.0
78,"[[1.29269487 0.05391478]
 [0.7074453  1.07315619]
 [0.93247557 0.43081797]
 [1.10446097 0.80186507]]",2.0,508,29.0
79,"[[0.06274319 0.67658821]
 [0.04749335 1.37086034]
 [1.33583135 0.63883122]
 [0.39234958 0.84465604]]",2.0,509,33.0
80,"[[0.06357097 1.37467922]
 [0.37805603 0.05470735]
 [0.82014586 0.38586841]
 [0.43515651 0.88019732]]",2.0,516,32.0
81,"[[0.43467478 1.47115215]
 [1.66630168 1.678349  ]
 [0.59140492 0.705543  ]
 [1.70050387 0.16868116]]",2.0,517,34.0
82,"[[0.92542812 1.20267486]
 [1.05572548 0.01292908]
 [0.43922304 1.67228925]
 [0.85575827 1.46697181]]",2.0,517,24.0
83,"[[1.76520733 0.06274417]
 [1.19153472 1.60483709]
 [0.35278535 1.00764391]
 [0.66752849 0.61944497]]",2.0,517,9.0
84,"[[0.25576877 0.23319255]
 [0.35109878 0.12567504]
 [0.24402732 1.02997112]
 [0.74829302 0.83398192]]",2.0,517,23.0
85,"[[0.71512437 1.48711433]
 [0.66114537 1.41490067]
 [0.37070126 1.38864255]
 [1.06570969 1.83059645]]",2.0,518,9.0
86,"[[1.99704674 1.29076156]
 [1.19474645 1.52083797]
 [0.60251869 1.66671748]
 [0.33022602 1.79505041]]",2.0,519,40.0
87,"[[1.46478189 0.46614036]
 [1.31450023 0.52205776]
 [1.63399003 1.70524573]
 [0.45903567 1.30960077]]",2.0,519,40.0
88,"[[1.73723894 1.83297303]
 [0.22038217 0.52417754]
 [0.83987683 1.92159638]
 [1.3786066  1.01095234]]",2.0,521,39.0
89,"[[1.92595214 1.85773567]
 [0.68239486 1.51727823]
 [0.79085234 0.46233329]
 [1.35735468 0.43092667]]",2.0,526,45.0
90,"[[1.06965884 1.40287572]
 [1.23946715 0.5184063 ]
 [0.43222735 1.57349704]
 [0.72905642 0.8116787 ]]",2.0,529,11.0
91,"[[1.46021254 0.88400066]
 [1.53891612 1.31791164]
 [1.45324582 0.31833059]
 [0.52954538 1.44081263]]",2.0,529,10.0
92,"[[0.2988421  0.32177689]
 [1.80432912 1.29080277]
 [0.09440041 0.73165225]
 [0.9488118  0.37465569]]",2.0,529,12.0
93,"[[1.19970265 1.26586722]
 [0.95797343 1.40954799]
 [1.60496931 1.46356002]
 [1.9924429  1.04584   ]]",2.0,530,13.0
94,"[[0.58128351 0.25196472]
 [1.28217597 0.01555031]
 [1.69544036 1.78423481]
 [1.5166338  1.06527225]]",2.0,530,14.0
95,"[[1.7783164  0.16921731]
 [0.23974269 1.07549717]
 [1.77970306 1.36486068]
 [1.35000616 0.58258889]]",2.0,531,10.0
96,"[[1.19054897 1.11568809]
 [0.51633656 0.74745319]
 [1.40476319 0.68296282]
 [1.75367796 1.20604219]]",2.0,531,12.0
97,"[[1.36001195 0.76905913]
 [0.88689365 0.56963806]
 [0.9297266  1.4848448 ]
 [1.52831387 1.06217828]]",2.0,531,14.0
98,"[[1.16470208 0.91820673]
 [1.31773422 1.56564958]
 [0.10325884 1.68971052]
 [1.75628392 1.13150603]]",2.0,531,14.0
99,"[[0.41613612 0.08814209]
 [0.30775254 1.9567505 ]
 [0.51395221 1.37213511]
 [1.83972333 0.94297326]]",2.0,536,10.0
100,"[[1.2512699  0.63511614]
 [1.15128479 1.24253418]
 [1.58313425 1.81817574]
 [0.14905228 1.6229273 ]]",2.0,538,8.0
101,"[[1.70401284 0.86495372]
 [0.38578778 1.87540935]
 [0.96890724 0.1907885 ]
 [0.11058239 1.27027559]]",2.0,540,10.0
